temporada|numeroCapitulo|nombreCapitulo|link
1|1|Especial de Navidad|https://www.starplus.com/es-419/video/79529cd0-f1cf-4eec-8b1d-ea1e1b76043b
1|2|Bart, el genio.|https://www.starplus.com/es-419/video/250ca502-751e-4b37-a465-f8b518d76ced
1|3|La odisea de Homer.|https://www.starplus.com/es-419/video/0e8e7f27-0ab2-495f-8254-d99d3c53ce4f
1|4|Una familia modelo|https://www.starplus.com/es-419/video/5e837a36-5db0-451c-82d3-0cca1490f784
1|5|Bart, el general.|https://www.starplus.com/es-419/video/051c32fc-0d9a-4bee-a960-9c6ab85eccdb
1|6|La depresion de Lisa.|https://www.starplus.com/es-419/video/d7502c3a-a254-451a-bdc0-b57e67b1ace4
1|7|El abominable hombre del bosque.|https://www.starplus.com/es-419/video/8d4aad23-2222-4980-af9b-729bc8159898
1|8|El heroe sin cabeza|https://www.starplus.com/es-419/video/8868eddb-224d-4df4-93c2-145abd60270d
1|9|Un momento de decision|https://www.starplus.com/es-419/video/6303b4c8-5e65-46a0-bd51-6460bba86e8e
1|10|Homer se va de juerga.|https://www.starplus.com/es-419/video/084078a6-9f7e-4468-8b33-48ce7fb5c7c0
1|11|Intercambio cultural|https://www.starplus.com/es-419/video/01937c40-fe95-4e8f-aa0d-3933ee3ba378
1|12|Krusty va a la carcel|https://www.starplus.com/es-419/video/829bc530-f7b3-459d-bac1-dc92672c9138
1|13|Una noche encantadora|https://www.starplus.com/es-419/video/332f91c5-2de7-40d2-ac02-9de76820f4f6
2|1|Bart reprueba.|https://www.starplus.com/es-419/video/4050d194-f1a6-47d4-bc1b-76b8245ed113
2|2|Simpson y Dalila.|https://www.starplus.com/es-419/video/243f60de-a36e-49ad-add0-dfc14531cafd
2|3|Especial de Noche de Brujas de Los Simpson: La casita del terror.|https://www.starplus.com/es-419/video/4ec3dd31-0428-40c2-b1e0-b052dfc53fe0
2|4|Dos coches en cada cochera, tres ojos en cada pez.|https://www.starplus.com/es-419/video/de06551c-30d7-44ef-b000-05e29c00eed6
2|5|Homer, el animador.|https://www.starplus.com/es-419/video/ebf614c8-eefe-4cc3-8b26-d898f40faad0
2|6|La sociedad de los golfistas muertos|https://www.starplus.com/es-419/video/142af74a-1149-493c-ad2b-a283c98db66d
2|7|Bart en el día de Acción de Gracias.|https://www.starplus.com/es-419/video/f4dc6ce1-cb9d-49e3-b4d4-2e5f50549812
2|8|Bart el temerario.|https://www.starplus.com/es-419/video/9f790394-88b9-48ac-970c-18d32de46342
2|9|Tommy, Daly y Marge.|https://www.starplus.com/es-419/video/fd366e91-bcd5-4629-83d9-6c6f6739897c
2|10|Bart es atropellado.|https://www.starplus.com/es-419/video/bf571705-b52b-46ae-a9c1-c88d36672839
2|11|Aviso de muerte.|https://www.starplus.com/es-419/video/28244e58-a5dd-4260-a8be-13e2a34d0ba9
2|12|Los años que vivimos.|https://www.starplus.com/es-419/video/1fd08344-aa39-42f3-a056-662aa4835f0f
2|13|No robaras.|https://www.starplus.com/es-419/video/fb653641-23b8-4e9b-a547-0d195f78c33c
2|14|El ultimo tren.|https://www.starplus.com/es-419/video/ce071635-1151-49b0-9168-eda9b55880fa
2|15|Donde estas hermano mio|https://www.starplus.com/es-419/video/78ae94ea-6ac6-4d34-b1a9-031a324f447a
2|16|El perro de Bart reprueba.|https://www.starplus.com/es-419/video/ab2e3441-cb90-4cee-ab57-6f20fa1bfdac
2|17|Nuestros años felices.|https://www.starplus.com/es-419/video/b847307a-cb9d-494a-bb98-12a764168288
2|18|Pinceles con alma.|https://www.starplus.com/es-419/video/8cf507bf-2b25-45d7-84d4-e3f668a68f37
2|19|El Sustituto de Lisa.|https://www.starplus.com/es-419/video/33c5ea7a-09ac-4513-b471-29289dbbc1f9
2|20|La guerra de los Simpson.|https://www.starplus.com/es-419/video/ac3d5ea1-e473-4a79-bfaf-a496a79b2a3b
2|21|Tres hombres y una historieta.|https://www.starplus.com/es-419/video/a1394377-1c23-458d-b91b-18ff12018d47
2|22|Sangre nueva.|https://www.starplus.com/es-419/video/cd94c4b6-8f87-4df0-b709-190eb4f84964
3|1|El patriotismo de Lisa|https://www.starplus.com/es-419/video/30e6b625-ad02-4c52-ba41-571b68eee431
3|2|Cuando Flanders fracasó.|https://www.starplus.com/es-419/video/bba00c31-32ab-4167-9990-d44ca856fb77
3|3|El pequeño padrino.|https://www.starplus.com/es-419/video/062bfbc7-f1ac-4c7f-9ccc-bd2e96fd6da4
3|4|Homero al diccionario.|https://www.starplus.com/es-419/video/03be2e07-7414-436a-9522-e697bd015483
3|5|De tal palo, tal payaso.|https://www.starplus.com/es-419/video/27977583-ce54-45e5-8c9e-3ea55d551a3e
3|6|La casita del terror II.|https://www.starplus.com/es-419/video/1d2183e7-f0c6-4b61-abd7-47688dccfd15
3|7|El poni de Lisa.|https://www.starplus.com/es-419/video/9ce55c08-4635-4cc8-857c-081460a2480e
3|8|Tardes de trueno.|https://www.starplus.com/es-419/video/b1ecdef1-ffef-4cb1-b7cc-3980a258cc69
3|9|La llamarada Moe.|https://www.starplus.com/es-419/video/796cd258-4056-43ab-9268-4932550f11f5
3|10|Burns y los alemanes.|https://www.starplus.com/es-419/video/dd37faf9-f191-4a97-99c4-2cf7e966e441
3|11|Me casé con Marge.|https://www.starplus.com/es-419/video/e7a09c16-34cd-448d-89c8-3a7cd3f1db05
3|12|Bart y la radio.|https://www.starplus.com/es-419/video/4b6bb3d5-cf1f-4edc-a1f5-b619c5d5979f
3|13|El pronostico de Lisa.|https://www.starplus.com/es-419/video/f4faa613-2619-484b-b9d5-84cb7907b60e
3|14|Homero se queda solo.|https://www.starplus.com/es-419/video/affe697b-246e-4e2b-b314-86abb18f51f3
3|15|Bart, el amante.|https://www.starplus.com/es-419/video/8e541791-0374-4447-92d5-427e190347c0
3|16|Homero el bat.|https://www.starplus.com/es-419/video/277c0f29-5036-4ec1-8730-346b62202ec9
3|17|Vocaciones distintas.|https://www.starplus.com/es-419/video/84689699-9a61-4873-9e97-b92fdfdfd912
3|18|Nuestro mejor amigo.|https://www.starplus.com/es-419/video/2d3ca633-e681-408d-b43a-17d34c4e3429
3|19|Homero, el campirano|https://www.starplus.com/es-419/video/dd81dd22-a6d1-490b-9e4d-86b5bf64e2b0
3|20|El viudo negro.|https://www.starplus.com/es-419/video/d5a7bef2-e845-4439-916e-121bb33838c4
3|21|El rock de Otto.|https://www.starplus.com/es-419/video/97b16e5f-ef0a-4bdb-b113-e8ceb248217a
3|22|Milhouse se enamora.|https://www.starplus.com/es-419/video/44f88f5f-ef09-4102-a975-4cc963938ec3
3|23|El es mi hermano.|https://www.starplus.com/es-419/video/7262519a-bba5-44c2-a547-2c812ed2541d
4|1|Kampo Krusty.|https://www.starplus.com/es-419/video/326e39c2-45a8-4781-9931-438ccbcc7f0a
4|2|Un tranvía llamado Marge.|https://www.starplus.com/es-419/video/0e1f575c-eb6e-46d3-8765-d786c3cbe0fc
4|3|Homero hereje.|https://www.starplus.com/es-419/video/1aac9cd6-a6d9-49ea-9ae3-fb1622a811fa
